FIRSTNAME,LASTNAME,EMAIL ADDRESS,ADDRESS,PHONE,DEPARTMENT,DEPARMENTTYPE
MITCHELL,ALBERTSON,mitchell.a@futuristic.services,2760 CULBERTSON AVE,589-645-8723,IT,TECHNICAL
RICHARD,ALEXANDER,richard.a@futuristic.services,4784 MIDLAND AVE,489-486-4168,PAYROLL,NONTECHNICAL
DEBORAH,ALLEN,deborah.a@futuristic.services,10351 OAK PARK BLVD,454-487-4489,SALES,NONTECHNICAL
DAVID,ANDERSON,david.a@futuristic.services,2548 PRAIRIE ST,485-558-5496,HR,NONTECHNICAL
BRENDA,BAKER,brenda.b@futuristic.services,8512 ASHTON CT,498-168-9954,IT,TECHNICAL
DONALD,BENNETT,donald.b@futuristic.services,1114 HUNTER AVE,359-498-5498,HR,NONTECHNICAL
LAURA,BROWN,laura.b@futuristic.services,6765 WHYSALL RD,198-497-3189,R&D,TECHNICAL
NELSON,CHEN,nelson.c@futuristic.services,3615 FOX HUNT DR,168-489-5798,SUPPORT,
GARY,CLARK,gary.c@futuristic.services,823 MEADOW DR,168-189-1867,R&D,TECHNICAL
LORI,COOPER,lori.c@futuristic.services,20956 GILL RD,369-489-6987,SALES,NONTECHNICAL
PETER,FLETCHER,peter.f@futuristic.services,33025 TALL OAKS ST,659-657-4562,PAYROLL,NONTECHNICAL
WILLIAM,FREEMAN,william.f@futuristic.services,122 EUCLID AVE,654-587-9542,IT,TECHNICAL
MARIA,GARCIA,maria.g@futuristic.services,2725 WARNER DR,251-658-2848,MARKETING,NONTECHNICAL
NORMA,GONZALES,norma.g@futuristic.services,52 OLIVER ST,158-987-6573,PAYROLL,NONTECHNICAL
JOHN,HARRIS,john.h@futuristic.services,2354 FLAGSTONE DR,456-875-2184,HR,NONTECHNICAL
MARK,HUDSON,mark.h@futuristic.services,7119 MOUNT JULIET DR,321-958-6485,MARKETING,NONTECHNICAL
EDWARD,JOHNSTON,edward.j@futuristic.services,2144 N BALDWIN RD,754-985-6594,SALES,NONTECHNICAL
MICHELLE,LANG,michelle.l@futuristic.services,6209 SHARP RD,689-695-3548,HR,NONTECHNICAL
JAMES,PARKER,james.p@futuristic.services,1924 OSAUKIE RD,962-658-2483,SALES,NONTECHNICAL
MARY,PEREZ,mary.p@futuristic.services,5975 WILLIAM DR,548-962-3654,SALES,NONTECHNICAL
KEVIN,PHILLIPS,kevin.p@futuristic.services,2321 SOMERVILLE DR,387-489-7847,IT,TECHNICAL
ROSE,RICHARDSON,rose.r@futuristic.services,3375 MORRISH RD,564-984-6258,SUPPORT,TECHNICAL
TONY,SALEMI,tony.s@futuristic.services,3832 HIGHLANDER WAY W,449-589-6513,IT,TECHNICAL
JASON,SMITH,jason.s@futuristic.services,11640 S MORRICE RD,589-645-8723,OPERATIONS,TECHNICAL
SHAWN,STEWART,shawn.s@futuristic.services,3549 BAYBROOK DR,584-957-3548,IT,TECHNICAL
SHARON,TAYLOR,sharon.t@futuristic.services,2257 WINDING WAY DR,584-987-6528,SALES,NONTECHNICAL
TIMOTHY,WILSON,timothy.w@futuristic.services,11470 WATERS RD,498-168-9954,OPERATIONS,TECHNICAL
THERESA,YOUNG,theresa.y@futuristic.services,5241 WESTON CT,658-965-8456,MARKETING,NONTECHNICAL
HECTOR,ZIMMERMAN,hector.z@futuristic.services,819 MOORE ST,658-874-9744,SALES,NONTECHNICAL
